id,titulo,anio,genero,sinopsis,director,elenco,imagen,estado,tipo,temporadas,episodios,nota_personal,nota_imdb,pendiente,favorito,tmdb_id,fecha_creacion,anotacion_personal,titulo_ingles
11,Batman Begins,2005,"Acción, Crimen, Drama","¿Cómo cambia un hombre el mundo? Es una pregunta que obsesiona a Bruce Wayne al igual que el fantasma de sus padres, muertos a tiros ante sus ojos en las calles de Gotham una noche que cambió su vida para siempre. Atormentado por la culpa y la ira, el desilusionado heredero industrial desaparece de Gotham y viaja en secreto por el mundo, buscando los medios de luchar contra la injusticia y utilizar el miedo contra los que se aprovechan de los que tienen miedo. Con la ayuda de su leal mayordomo Alfred, el detective Jim Gordon - uno de los pocos buenos policías de las fuerzas del orden público de Gotham - y Lucius Fox, su aliado en la división de Ciencias Aplicadas de Wayne Enterprises, Bruce Wayne libera a su imponente alter ego: Batman, un justiciero enmascarado que utiliza la fuerza, la inteligencia y un despliegue de artefactos de alta tecnología para combatir las fuerzas siniestras que amenazan con destruir la ciudad.",Christopher Nolan,"Christian Bale, Michael Caine, Liam Neeson, Katie Holmes, Gary Oldman",https://image.tmdb.org/t/p/w500/6yMWU1vWkOBbNRIwOxhetd2aHhO.jpg,Released,película,,,8.8,7.7,f,f,272,2025-04-28 12:35:42,,
12,Spider-Man,2002,"Acción, Ciencia ficción","Peter Parker es un joven y tímido estudiante que vive con su tía May y su tío Ben desde la muerte de sus padres. Un día es mordido por una araña que ha sido modificada genéticamente, descubriendo al día siguiente que posee unos poderes poco habituales: tiene la fuerza y agilidad de una araña.",Sam Raimi,"Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco, Cliff Robertson",https://image.tmdb.org/t/p/w500/bCDaKZLRkrVVtPNyHxUfKvepW1N.jpg,Released,película,,,9.5,7.3,f,f,557,2025-04-28 12:35:42,,
13,Hasta que te encontré,2018,"Romance, Drama","Liam Page (Alex Roe), una estrella de música country, dejó a su prometida en el altar para centrarse en su carrera profesional, la fama y el éxito. Después de ocho años, regresa a su ciudad natal para asistir al funeral de su mejor amigo. Al volver al lugar donde creció y vivió los mejores momentos de su vida, se da cuenta de todo lo que dejó atrás al olvidar sus raíces. Poco a poco sentirá que no ha podido olvidar al amor de su vida, Josie (Jessica Rothe) e intentará hacer todo lo posible para recuperar a su ex prometida.",Bethany Ashton Wolf,"Alex Roe, Jessica Rothe, John Benjamin Hickey, Abby Ryder Fortson, Peter Cambor",https://image.tmdb.org/t/p/w500/kFhnAQv0ntMlVE4EtYeBzOGWO1w.jpg,Released,película,,,8.6,7.6,f,f,417261,2025-04-28 12:35:42,,Forever My Girl
14,Cualquiera menos tú,2023,"Romance, Comedia","Después de una primera cita increíble, la ardiente atracción entre ambos se enfría. Parecían la pareja perfecta, pero algo sucede y la cosa no va a más. Hasta que se reencuentran inesperadamente en una boda en Australia. Allí hacen lo que haría cualquier adulto: fingir que son una pareja.",Will Gluck,"Sydney Sweeney, Glen Powell, Mia Artemis, Nat Buchanan, GaTa",https://image.tmdb.org/t/p/w500/vXT7jcza5CPEL9Fo4VSgW5hV7gb.jpg,Released,película,,,7,6.9,f,f,1072790,2025-04-28 12:35:42,,Anyone But You
15,Reacher,2022,"Action & Adventure, Drama, Crimen","Cuando el exagente de la Policía Militar Jack Reacher es detenido por un asesinato que no ha cometido, se ve envuelto en una mortífera conspiración llena de policías corruptos, empresarios dudosos y políticos intrigantes. Armado solo con su ingenio, debe averiguar qué pasa en Margrave, Georgia. La primera temporada de Reacher se basa en Zona peligrosa, el superventas internacional de Lee Child.","","Alan Ritchson, Maria Sten, Sonya Cassidy, Johnny Berchtold, Roberto Montesinos",https://image.tmdb.org/t/p/w500/6iuVqg86hJPwTWAO1TDWKLxjgn4.jpg,Returning Series,serie,3,24,8,8.1,f,f,108978,2025-04-28 12:35:42,"- **Basada en las novelas de Reacher**
- **Hay un par de películas de Reacher con Tom Cruise de protagonista**
- **El personaje de esta serie es más fiel al de los libros que el de las películas**",
16,El becario,2015,Comedia,"La joven dueña de un exitoso negocio online dedicado a la moda no se toma demasiado bien el hecho de que la compañía contrate como becario a un hombre de 70 años, pero eso irá cambiando progresivamente, ya que poco a poco el hombre comienza a convertirse en alguien indispensable.",Nancy Meyers,"Robert De Niro, Anne Hathaway, Rene Russo, Anders Holm, JoJo Kushner",https://image.tmdb.org/t/p/w500/bpaq572AFnI4JtufuVqcRZrlDdz.jpg,Released,película,,,8.7,7.2,f,f,257211,2025-04-28 12:35:42,,The Intern
17,El Conde de Montecristo,2024,"Aventura, Acción, Drama","Todos los sueños del joven Edmundo Dantés están a punto de hacerse realidad. Traicionado por sus rivales, es encarcelado sin juicio en el Castillo de If sin esperanza de escapar. Tras catorce años de encierro, Dantés consigue escapar y hacerse con el legendario tesoro escondido en la isla de Montecristo. Ahora, con una enorme fortuna, urde un plan extraordinario para vengarse.","Alexandre de La Patellière, Matthieu Delaporte","Pierre Niney, Bastien Bouillon, Anaïs Demoustier, Laurent Lafitte, Pierfrancesco Favino",https://image.tmdb.org/t/p/w500/r2PGzaGA7bgcuy6PX7nx0BfDYsK.jpg,Released,película,,,8.2,8,f,f,1084736,2025-04-28 12:35:42,,Le Comte de Monte-Cristo
18,Invencible (Unbroken),2014,"Drama, Bélica","Narra la historia real de Louis Zamperini, un joven que, tras participar en los Juegos Olímpicos de 1936, se alistó en las Fuerzas Aéreas de los Estados Unidos para luchar en la Segunda Guerra Mundial (1939-1945). Cuando el bombardero en el que combatía se estrelló en medio del Pacífico, navegó a la deriva hasta que fue capturado por los japoneses.",Angelina Jolie,"Jack O'Connell, Alex Russell, Domhnall Gleeson, Garrett Hedlund, MIYAVI",https://image.tmdb.org/t/p/w500/s4i7KnVQQnXM6LvBAlGYFUwJIeh.jpg,Released,película,,,9,7.4,f,f,227306,2025-04-28 12:35:42,,Unbroken
19,Invencible,2006,"Drama, Historia","Basado en un suceso real ocurrido en 1976. Vince Papale, un hombre de treinta años, barman y profesor a tiempo parcial, era un aficionado de los Philadelphia Eagles que sólo había jugado al fútbol americano un año en el instituto. Un día decidió apuntarse a una prueba abierta de su equipo para encontrar nuevos talentos y consiguió ser admitido, haciendo así realidad el sueño de toda su vida.",Ericson Core,"Mark Wahlberg, Greg Kinnear, Elizabeth Banks, Kevin Conway, Michael Rispoli",https://image.tmdb.org/t/p/w500/m9pEtIV8qtARybEQeUImvFiHGzV.jpg,Released,película,,,7.8,7,f,f,11652,2025-04-28 12:35:42,- **Basada en hechos reales**,Invincible
20,Un sueño posible,2009,Drama,"Basada en hechos reales, narra la historia de Michael Oher, un joven afroamericano sin hogar que encuentra ayuda y cobijo en una familia blanca, dispuesta a prestarle el apoyo necesario para que pueda desarrollar todo su potencial, tanto para triunfar como jugador de fútbol americano como en la vida. Por su parte Oher también influirá en la vida de los miembros de la familia Touhy, que atravesarán también por experiencias de descubrimiento personal. El cambio de ambiente significa también nuevos desafíos que el joven habrá de vencer, esforzándose por dar lo máximo de sí mismo como deportista y como persona.",John Lee Hancock,"Sandra Bullock, Tim McGraw, Quinton Aaron, Jae Head, Lily Collins",https://image.tmdb.org/t/p/w500/uDZJph23idOLBmImnuaZBlF3TgP.jpg,Released,película,,,9,7.7,f,t,22881,2025-04-28 12:35:42,,The Blind Side
21,En busca de la felicidad,2006,Drama,"Chris Gardner es un vendedor brillante y con talento, pero su empleo no le permite cubrir sus necesidades más básicas. Tanto es así que acaban echándolo, junto a su hijo de cinco años, de su piso de San Francisco y no tienen ningún lugar al que ir. Cuando Gardner consigue hacer unas prácticas en una prestigiosa correduría de bolsa, los dos protagonistas tendrán que afrontar muchas adversidades parar hacer realidad su sueño de una vida mejor. Basada en hechos reales.",Gabriele Muccino,"Will Smith, Jaden Smith, Thandiwe Newton, Brian Howe, James Karen",https://image.tmdb.org/t/p/w500/qF6JFr6IdfNep0x6yw3i7S8avAb.jpg,Released,película,,,7.8,7.9,f,f,1402,2025-04-28 12:35:42,,The Pursuit of Happyness
22,Hasta el último hombre,2016,"Drama, Historia, Bélica","Narra la historia de Desmond Doss, un joven médico militar que participó en la sangrienta batalla de Okinawa, en el Pacífico durante la II Guerra Mundial, y se convirtió en el primer objetor de conciencia en la historia estadounidense en recibir la Medalla de Honor del Congreso. Doss quería servir a su país, pero desde pequeño se había hecho una promesa a sí mismo: no coger jamás ningún arma.",Mel Gibson,"Andrew Garfield, Sam Worthington, Vince Vaughn, Teresa Palmer, Luke Bracey",https://image.tmdb.org/t/p/w500/m3jj8IJ7uP5p4MqMzgtGW5l4ECd.jpg,Released,película,,,9.8,8.2,f,t,324786,2025-04-28 12:35:42,"- **Muy emocional**
- **De mis favoritas**
- **Una de las mejores actuaciones que le he visto a Andrew Garfield**",Hacksaw Ridge
23,13 Horas: Los soldados secretos de Bengasi,2016,"Bélica, Acción, Historia, Drama, Suspense","El 11 de septiembre de 2012, en el aniversario de los ataques terroristas a las Torres Gemelas y al Pentágono, un grupo de milicianos islamistas atentaron contra el consulado estadounidense y un anexo cercano de la CIA en Bengasi, Libia. Un equipo de seis miembros de Operaciones Especiales de Estados Unidos fue enviado para rescatar a los supervivientes.",Michael Bay,"John Krasinski, James Badge Dale, Dominic Fumusa, Max Martini, Pablo Schreiber",https://image.tmdb.org/t/p/w500/uRBj8FbGfub5JVXWqXCmLMNUQNX.jpg,Released,película,,,9.5,7.3,f,f,300671,2025-04-28 12:35:42,"- **Peliculón**
- **Mucha dopamina, acción todo el rato**
- **Un toque emocional**",13 Hours: The Secret Soldiers of Benghazi
25,El corredor del laberinto,2014,"Acción, Misterio, Ciencia ficción, Suspense","Thomas abre los ojos y se da cuenta que está en un ascensor. Lo extraño es que no recuerda nada, ni dónde está, ni quién es. Lo único que aún permanece intacto en su memoria es su nombre, y ya es mucho. Antes de que le dé tiempo a cuestionarse algo sobre sí mismo las puertas se abrirán y aparecerá ante él un extraño mundo. Todo lo que ve son chicos de su edad que tienen su mismo estado de amnesia. Una aventura fantástica que pronto destapará la dura realidad bajo ese velo de incertidumbre: todos ellos están atrapados en un laberinto. Si quieren tener alguna posibilidad de salir de allí y recuperar su antigua vida y aquello que no son capaces de recordar deberán unir fuerzas para escapar. Un mundo post-apocalíptico que les acorralará e irá un paso por delante será el desafío que tengan que pasar estos jóvenes por la libertad.",Wes Ball,"Dylan O'Brien, Kaya Scodelario, Aml Ameen, Thomas Brodie-Sangster, Ki Hong Lee",https://image.tmdb.org/t/p/w500/egKi4jZKKVZzR8NaaNjEwMpEgHs.jpg,Released,película,,,9.3,7.2,f,f,198663,2025-04-28 12:35:42,,The Maze Runner
26,El corredor del laberinto: Las pruebas,2015,"Ciencia ficción, Acción, Suspense, Aventura","En este nuevo capítulo de la trepidante saga ""El Corredor del Laberinto"", Thomas (Dylan O'Brien) y el resto de clarianos tendrán que enfrentarse a su mayor desafío hasta el momento: buscar pistas sobre la misteriosa y poderosa organización conocida como CRUEL. Este viaje les llevará a “La Quemadura”, un apocalíptico lugar repleto de inimaginables obstáculos. Formando equipo con miembros de la resistencia, los clarianos deberán desenmascarar a las fuerzas superiores de CRUEL y averiguar qué planes tienen para todos ellos.",Wes Ball,"Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Giancarlo Esposito, Ki Hong Lee",https://image.tmdb.org/t/p/w500/43K7XwlFzO5PGdNMFY5s36jXdWo.jpg,Released,película,,,8.5,6.7,f,f,294254,2025-04-28 12:35:42,,Maze Runner: The Scorch Trials
27,El corredor del laberinto: La cura mortal,2018,"Ciencia ficción, Acción, Aventura, Suspense","En este final de saga, Thomas lidera a su grupo en una última misión. Deberán entrar en la legendaria Last City, un laberinto controlado por WCKD que puede llegar a ser el laberinto más mortífero de todos. Cualquier persona que lo supere obtendrá las respuestas a las preguntas y los protagonistas quieren saber lo que realmente sucede.",Wes Ball,"Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Ki Hong Lee, Dexter Darden",https://image.tmdb.org/t/p/w500/kuZOnvzplxPVh71t827F19zY5Ab.jpg,Released,película,,,9.2,7.1,f,f,336843,2025-04-28 12:35:42,,Maze Runner: The Death Cure
29,Los Juegos del Hambre: Sinsajo - Parte 1,2014,"Ciencia ficción, Aventura, Suspense","Katniss Everdeen se encuentra en el Distrito 13 después de destrozar los Juegos para siempre. Bajo el liderazgo de la comandante Coin y el consejo de sus amigos más leales, Katniss extiende sus alas mientras lucha por salvar a Peeta Mellark y a una nación alentada por su valentía...",Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks",https://image.tmdb.org/t/p/w500/wfLsciidZamFPeOb4FD8ywk1Q9c.jpg,Released,película,,,8.5,6.8,f,f,131631,2025-04-28 12:35:42,,The Hunger Games: Mockingjay - Part 1
30,Los Juegos del Hambre: En llamas,2013,"Aventura, Acción, Ciencia ficción","Tras vencer en los 74º Juegos del Hambre anuales, la joven Katniss Everdeen y su compañero Peeta Mellark regresan a casa. Atrás dejaron a sus amigos y su familia, teniendo ambos que participar en la 'gira de la victoria' por todos los distritos. Durante ese largo viaje, Katniss se da cuenta de que se está gestando una rebelión, pero en el Capitolio todo sigue igual y bajo estricto control del Presidente Snow, que está organizando los 75º Juegos del Hambre, denominados 'El Vasallaje de los Veinticinco': una competición especial con una inesperada novedad que cambiará Panem para siempre.",Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks",https://image.tmdb.org/t/p/w500/oxnKI1qiHz7xC0mNthC7dSqTcot.jpg,Released,película,,,8.2,7.4,f,f,101299,2025-04-28 12:35:42,,The Hunger Games: Catching Fire
31,Los Juegos del Hambre,2012,"Ciencia ficción, Aventura, Fantasía","Lo que en el pasado fueron los Estados Unidos, ahora es una nación llamada Panem; un imponente Capitolio ejerce un control riguroso sobre los 12 distritos que lo rodean y que están aislados entre sí. Cada distrito se ve obligado a enviar anualmente un chico y una chica entre los doce y los dieciocho años para que participen en los Hunger Games, unos juegos que son transmitidos en directo por la televisión. Se trata de una lucha a muerte, en la que sólo puede haber un superviviente. Katniss Everdeen, una joven de dieciséis años, decide sustituir a su hermana en los juegos; pero para ella, que ya ha visto la muerte de cerca, la lucha por la supervivencia es su segunda naturaleza.",Gary Ross,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks",https://image.tmdb.org/t/p/w500/qSEn7KsGchT7qB08HlviyeTPrEr.jpg,Released,película,,,8,7.2,f,f,70160,2025-04-28 12:35:42,,The Hunger Games
32,Los Juegos del Hambre: Balada de pájaros cantores y serpientes,2023,"Drama, Ciencia ficción, Aventura, Acción","Ambientada en un Panem postapocalíptico, nos traslada varias décadas antes del comienzo de las aventuras de Katniss Everdeen. El joven Coriolanus Snow será el mentor de Lucy Gray Baird, la chica elegida para ser homenajeada del empobrecido Distrito 12. La joven sorprenderá a todos cantando en la ceremonia de apertura de los Décimos Juegos del Hambre en los que Snow intentará aprovecharse de su talento y encanto para sobrevivir.",Francis Lawrence,"Tom Blyth, Rachel Zegler, Peter Dinklage, Jason Schwartzman, Hunter Schafer",https://image.tmdb.org/t/p/w500/lQS3Owbte49Mkz5nFach4UgSZDF.jpg,Released,película,,,7,7,f,f,695721,2025-04-28 12:35:42,,The Hunger Games: The Ballad of Songbirds & Snakes
33,Los Juegos del Hambre: Sinsajo - Parte 2,2015,"Acción, Aventura, Ciencia ficción","La última entrega de 'Los Juegos del Hambre' nos muestra a una nación en guerra, en la que Katniss se enfrenta con uñas y dientes al presidente Snow. Con la ayuda de algunos amigos, entre ellos Gale, Finnick y Peeta, arriesgará la vida para salir del Distrito 13 y eliminar al presidente Snow.",Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks",https://image.tmdb.org/t/p/w500/3qQPBc7JVGXJGo0Av5jrqndcdTm.jpg,Released,película,,,8.7,6.9,f,f,131634,2025-04-28 12:35:42,,The Hunger Games: Mockingjay - Part 2
34,Un ciudadano ejemplar,2009,"Drama, Crimen, Suspense","Clyde Shelton es un ciudadano normal que lo ha perdido todo. Diez años antes su mujer y su hija fueron brutalmente asesinadas y los criminales nunca fueron condenados. El culpable es Nick Rice, el ambicioso ayudante del fiscal del distrito, porque hizo un pacto con el abogado de uno de ellos. Pero Clyde descubre ese acuerdo, y su deseo de venganza lo lleva a cometer una serie de asesinatos",F. Gary Gray,"Jamie Foxx, Gerard Butler, Colm Meaney, Bruce McGill, Leslie Bibb",https://image.tmdb.org/t/p/w500/iaY5L2gY60La8ImK7ll7QBXXk26.jpg,Released,película,,,8,7.4,f,f,22803,2025-04-28 12:35:42,,Law Abiding Citizen
35,Redención (Southpaw),2015,"Acción, Drama","Pese a haber gozado de gloria y de premios en su pasado, un luchador (Jake Gyllenhaal) ha caído en desgracia. Sin embargo, no se ha rendido y ha tomado la decisión de mejorar su imagen por el bien de su mujer y su hija.",Antoine Fuqua,"Jake Gyllenhaal, Rachel McAdams, Forest Whitaker, Oona Laurence, 50 Cent",https://image.tmdb.org/t/p/w500/vMXldZHhDTkMvw9AYePwHInyJ1n.jpg,Released,película,,,8.5,7.4,f,f,307081,2025-04-28 12:35:42,,Southpaw
36,Cadena perpetua,1994,"Drama, Crimen","Acusado del asesinato de su mujer, Andrew Dufresne, tras ser condenado a cadena perpetua, es enviado a la prisión de Shawshank. Con el paso de los años conseguirá ganarse la confianza del director del centro y el respeto de sus compañeros presidiarios, especialmente de Red, el jefe de la mafia de los sobornos.",Frank Darabont,"Morgan Freeman, Tim Robbins, Bob Gunton, William Sadler, Clancy Brown",https://image.tmdb.org/t/p/w500/uRRTV7p6l2ivtODWJVVAMRrwTn2.jpg,Released,película,,,10,8.7,f,t,278,2025-04-28 12:35:42, - **Mi película favorita**,The Shawshank Redemption
37,La vida es bella,1997,"Comedia, Drama","En 1939, a punto de estallar la Segunda Guerra Mundial (1939-1945), el extravagante Guido llega a Arezzo, en la Toscana, con la intención de abrir una librería. Allí conoce a la encantadora Dora y, a pesar de que es la prometida del fascista Rodolfo, se casa con ella y tiene un hijo. Al estallar la guerra, los tres son internados en un campo de exterminio, donde Guido hará lo imposible para hacer creer a su hijo que la terrible situación que están padeciendo es tan sólo un juego.",Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano, Sergio Bini Bustric",https://image.tmdb.org/t/p/w500/aZ7MFlKPfB02Lr9NwZQ4vsYRgcy.jpg,Released,película,,,9,8.4,f,f,637,2025-04-28 12:35:42,- **Es preciosa**,La vita è bella
38,El indomable Will Hunting,1997,Drama,"Will es un joven rebelde con una inteligencia asombrosa, especialmente con las matemáticas. El descubrimiento de su talento por parte de los académicos le obligará a elegir entre seguir con su vida de siempre -un trabajo fácil, buenos amigos, muchas cervezas y alguna bronca- o aprovechar sus grandes cualidades intelectuales en alguna universidad. Sólo los consejos de un solitario y bohemio profesor le ayudará a decidirse.",Gus Van Sant,"Matt Damon, Robin Williams, Ben Affleck, Stellan Skarsgård, Minnie Driver",https://image.tmdb.org/t/p/w500/4Yy63A10sPQZ9kd2kWj13S4WUkn.jpg,Released,película,,,7.7,8.2,f,f,489,2025-04-28 12:35:42,,Good Will Hunting
39,El curioso caso de Benjamin Button,2008,"Drama, Fantasía, Romance","Un hombre nace con ochenta años y va rejuveneciendo a medida que pasa el tiempo, es decir, en lugar de cumplir años los descumple. Ésta es la historia de un hombre extraordinario, de la gentes que va conociendo, de sus amores, pero sobre todo de su relación con Daisy.",David Fincher,"Brad Pitt, Cate Blanchett, Taraji P. Henson, Julia Ormond, Jason Flemyng",https://image.tmdb.org/t/p/w500/t5nG1UuIZ5VEPUFdEsHwRmxToeo.jpg,Released,película,,,7.5,7.6,f,f,4922,2025-04-28 12:35:42,,The Curious Case of Benjamin Button
